Valor,m² construcción,Cuartos,Baños,Estacionamientos,Ubicación
"$4,756,150",74,2,2,1,"Cuauhtémoc, Ciudad de México"
"$3,250,000",100,3,1,1,"Benito Juárez, Ciudad de México"
"$3,300,000",96,3,2,2,"Huixquilucan, Ciudad de México"
"$5,700,000",186,3,2,2,"Huixquilucan, Ciudad de México"
"$2,200,000",77,1,1,2,"Miguel Hidalgo, Ciudad de México"
"$2,800,000",88,2,2,1,"Álvaro Obregón, Ciudad de México"
"$3,500,000",103,2,2,1,"Benito Juárez, Ciudad de México"
"$1,690,000",67,2,1,1,"Cuauhtémoc, Ciudad de México"
"$2,200,000",70,2,1,1,"Cuauhtémoc, Ciudad de México"
"$2,800,000",200,5,3,1,"Iztapalapa, Ciudad de México"
"$2,550,000",73,2,1,1,"Benito Juárez, Ciudad de México"
"$6,500,000",99,2,2,1,"Cuauhtémoc, Ciudad de México"
"$6,600,000",102,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$6,000,000",108,2,2,1,"Cuauhtémoc, Ciudad de México"
"$6,390,000",117,2,2,2,"Cuauhtémoc, Ciudad de México"
"$6,350,000",108,2,2,1,"Cuauhtémoc, Ciudad de México"
"$5,900,000",90,1,2,2,"Cuauhtémoc, Ciudad de México"
"$6,380,000",125,1,1,1,"Cuauhtémoc, Ciudad de México"
"$7,500,000",127,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$6,285,000",105,2,2,0,"Cuauhtémoc, Ciudad de México"
"$7,824,073",135,2,2,2,"Cuauhtémoc, Ciudad de México"
"$2,800,000",104,2,2,1,"Huixquilucan, Ciudad de México"
"$3,600,000",127,3,3,2,"Huixquilucan, Ciudad de México"
"$2,990,000",120,3,2,2,"Huixquilucan, Ciudad de México"
"$1,750,000",77,2,2,2,"Tlalnepantla de Baz, Ciudad de México"
"$4,000,000",123,3,2,1,"Benito Juárez, Ciudad de México"
"$3,165,000",130,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$5,450,000",120,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$2,329,350",73,2,1,1,"Coyoacán, Ciudad de México"
"$2,500,000",67,1,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$1,753,002",73,2,1,0,"Coyoacán, Ciudad de México"
"$1,800,000",90,2,1,1,"Miguel Hidalgo, Ciudad de México"
"$2,990,000",126,3,2,2,"Huixquilucan, Ciudad de México"
"$980,000",90,2,1,1,"Atizapán de Zaragoza, Ciudad de México"
"$4,500,000",89,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$2,981,001",103,2,2,2,"Huixquilucan, Ciudad de México"
"$700,000",96,3,1,1,"Tultitlán, Ciudad de México"
"$2,995,000",118,3,2,2,"Naucalpan de Juárez, Ciudad de México"
"$3,950,000",122,2,2,1,"Benito Juárez, Ciudad de México"
"$4,900,000",117,1,2,1,"Miguel Hidalgo, Ciudad de México"
"$3,350,000",126,3,2,2,"Huixquilucan, Ciudad de México"
"$4,100,000",88,1,1,2,"Benito Juárez, Ciudad de México"
"$4,300,000",98,2,2,2,"Benito Juárez, Ciudad de México"
"$2,899,000",75,2,2,1,"Benito Juárez, Ciudad de México"
"$5,400,000",85,2,1,2,"Miguel Hidalgo, Ciudad de México"
"$3,595,000",92,2,2,2,"Benito Juárez, Ciudad de México"
"$2,450,000",110,3,2,1,"Coyoacán, Ciudad de México"
"$4,900,000",77,2,2,2,"Miguel Hidalgo, Ciudad de México"
"$2,850,000",68,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$4,950,000",77,2,2,1,"Cuauhtémoc, Ciudad de México"
"$3,250,000",128,2,2,2,"Huixquilucan, Ciudad de México"
"$4,800,000",126,2,2,2,"Álvaro Obregón, Ciudad de México"
"$4,818,890",75,2,2,1,"Cuauhtémoc, Ciudad de México"
"$4,756,150",75,2,2,0,"Cuauhtémoc, Ciudad de México"
"$2,100,000",97,2,2,1,"Atizapán de Zaragoza, Ciudad de México"
"$4,300,790",70,2,2,1,"Cuauhtémoc, Ciudad de México"
"$3,999,999",134,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$2,050,000",80,2,1,1,"Tlalnepantla de Baz, Ciudad de México"
"$1,890,000",107,3,2,2,"Naucalpan de Juárez, Ciudad de México"
"$5,700,000",129,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$1,790,000",120,3,2,0,"Tepotzotlán, Ciudad de México"
"$3,200,000",110,2,3,2,"Naucalpan de Juárez, Ciudad de México"
"$5,200,001",89,1,1,1,"Miguel Hidalgo, Ciudad de México"
"$4,300,000",105,1,1,1,"Miguel Hidalgo, Ciudad de México"
"$3,764,820",77,3,2,2,"Cuauhtémoc, Ciudad de México"
"$1,149,000",105,2,2,1,"Tecámac, Ciudad de México"
"$1,008,000",105,3,2,1,"Tizayuca, Ciudad de México"
"$3,050,000",110,3,2,2,"Tlalpan, Ciudad de México"
"$5,521,000",112,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$2,800,000",95,3,1,0,"Benito Juárez, Ciudad de México"
"$1,630,000",77,2,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$1,695,000",64,2,1,1,"Miguel Hidalgo, Ciudad de México"
"$3,500,000",88,2,1,1,"Cuauhtémoc, Ciudad de México"
"$760,000",120,2,1,1,"Tecámac, Ciudad de México"
"$2,508,180",89,3,2,1,"Álvaro Obregón, Ciudad de México"
"$3,000,000",82,2,2,1,"Benito Juárez, Ciudad de México"
"$2,050,000",70,2,1,1,"Cuauhtémoc, Ciudad de México"
"$2,771,320",105,2,2,1,"Cuajimalpa de Morelos, Ciudad de México"
"$1,980,000",65,2,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$4,199,000",123,2,2,2,"Benito Juárez, Ciudad de México"
"$2,550,000",97,3,2,1,"Huixquilucan, Ciudad de México"
"$4,100,000",124,3,1,1,"Benito Juárez, Ciudad de México"
"$5,521,000",112,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$2,746,900",69,2,2,1,"Benito Juárez, Ciudad de México"
"$4,100,000",85,2,1,1,"Miguel Hidalgo, Ciudad de México"
"$5,500,000",95,2,2,1,"Cuauhtémoc, Ciudad de México"
"$3,675,000",68,1,2,1,"Benito Juárez, Ciudad de México"
"$4,250,000",126,3,2,3,"Huixquilucan, Ciudad de México"
"$2,600,000",65,2,2,1,"Cuajimalpa de Morelos, Ciudad de México"
"$3,950,831",73,1,1,1,"Cuauhtémoc, Ciudad de México"
"$2,550,000",65,3,2,1,"Álvaro Obregón, Ciudad de México"
"$2,350,000",113,3,1,0,"La Magdalena Contreras, Ciudad de México"
"$3,900,000",65,1,1,1,"Cuauhtémoc, Ciudad de México"
"$5,200,000",77,2,2,2,"Miguel Hidalgo, Ciudad de México"
"$3,600,000",125,3,2,1,"Álvaro Obregón, Ciudad de México"
"$800,000",95,3,1,1,"Chicoloapan, Ciudad de México"
"$2,638,000",96,3,2,2,"Huixquilucan, Ciudad de México"
"$1,750,000",87,2,1,1,"Iztacalco, Ciudad de México"
"$3,500,000",120,3,1,1,"Miguel Hidalgo, Ciudad de México"
"$3,050,000",95,2,2,0,"Miguel Hidalgo, Ciudad de México"
"$2,580,000",99,2,2,2,"Huixquilucan, Ciudad de México"
"$1,550,000",125,3,2,2,"Cuautitlán Izcalli, Ciudad de México"
"$1,900,000",70,3,2,0,"Cuauhtémoc, Ciudad de México"
"$4,237,080",97,2,2,2,"Benito Juárez, Ciudad de México"
"$2,700,000",110,2,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$3,209,000",71,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$3,990,000",95,2,2,2,"Cuauhtémoc, Ciudad de México"
"$2,500,000",64,1,1,0,"Cuauhtémoc, Ciudad de México"
"$1,955,000",65,2,1,1,"Coyoacán, Ciudad de México"
"$4,700,000",112,2,2,2,"Benito Juárez, Ciudad de México"
"$3,080,000",110,3,2,2,"Álvaro Obregón, Ciudad de México"
"$2,650,000",122,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$5,420,700",95,2,2,0,"Cuauhtémoc, Ciudad de México"
"$4,681,250",75,2,2,1,"Cuauhtémoc, Ciudad de México"
"$4,400,000",124,3,2,2,"Álvaro Obregón, Ciudad de México"
"$3,150,000",85,3,2,2,"Álvaro Obregón, Ciudad de México"
"$3,207,800",79,2,2,0,"Benito Juárez, Ciudad de México"
"$4,129,000",90,2,2,1,"Cuauhtémoc, Ciudad de México"
"$4,400,000",114,1,1,2,"Benito Juárez, Ciudad de México"
"$2,847,000",80,2,2,2,"Álvaro Obregón, Ciudad de México"
"$5,420,700",95,3,2,1,"Cuauhtémoc, Ciudad de México"
"$2,750,000",94,2,1,1,"Cuauhtémoc, Ciudad de México"
"$2,900,000",113,3,2,2,"Coyoacán, Ciudad de México"
"$5,325,600",95,2,2,1,"Cuauhtémoc, Ciudad de México"
"$3,070,000",126,3,2,2,"Huixquilucan, Ciudad de México"
"$2,395,000",87,2,1,1,"Coyoacán, Ciudad de México"
"$3,600,000",110,3,3,2,"Coyoacán, Ciudad de México"
"$3,690,000",100,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$3,000,000",74,2,1,1,"Benito Juárez, Ciudad de México"
"$762,000",90,2,1,1,"Tizayuca, Ciudad de México"
"$1,020,000",90,3,2,1,"Tizayuca, Ciudad de México"
"$1,300,000",130,1,1,4,"Nicolás Romero, Ciudad de México"
"$795,000",74,2,1,2,"Tecámac, Ciudad de México"
"$2,195,000",82,2,2,1,"Venustiano Carranza, Ciudad de México"
"$1,330,000",74,2,1,1,"Xochimilco, Ciudad de México"
"$1,796,000",63,3,1,1,"Coyoacán, Ciudad de México"
"$3,350,000",104,2,2,2,"Huixquilucan, Ciudad de México"
"$1,033,000",83,2,1,1,"Tecámac, Ciudad de México"
"$2,750,000",134,3,2,2,"Cuautitlán Izcalli, Ciudad de México"
"$1,200,000",105,3,1,1,"Coacalco de Berriozábal, Ciudad de México"
"$1,700,000",119,3,2,2,"Naucalpan de Juárez, Ciudad de México"
"$2,200,000",66,2,2,2,"Huixquilucan, Ciudad de México"
"$749,000",78,3,2,1,"Tecámac, Ciudad de México"
"$5,000,000",130,2,2,2,"Huixquilucan, Ciudad de México"
"$2,350,000",82,2,2,2,"Huixquilucan, Ciudad de México"
"$3,300,000",106,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$1,630,000",109,2,2,1,"Ecatepec de Morelos, Ciudad de México"
"$2,083,900",70,2,1,1,"Coyoacán, Ciudad de México"
"$782,000",92,3,1,1,"Chalco, Ciudad de México"
"$690,000",67,3,1,1,"Huehuetoca, Ciudad de México"
"$1,900,000",75,2,2,1,"Atizapán de Zaragoza, Ciudad de México"
"$1,100,000",82,3,2,1,"Nicolás Romero, Ciudad de México"
"$2,921,905",104,2,2,2,"Huixquilucan, Ciudad de México"
"$1,587,900",80,2,1,1,"Coyoacán, Ciudad de México"
"$600,000",63,2,2,1,"Tecámac, Ciudad de México"
"$2,850,000",132,3,2,2,"Naucalpan de Juárez, Ciudad de México"
"$1,300,000",125,2,1,1,"Ixtapaluca, Ciudad de México"
"$2,600,000",89,2,2,1,"Álvaro Obregón, Ciudad de México"
"$2,600,000",76,2,2,1,"Álvaro Obregón, Ciudad de México"
"$2,350,000",107,3,2,1,"Iztacalco, Ciudad de México"
"$2,250,000",69,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$1,750,000",67,2,1,1,"Cuauhtémoc, Ciudad de México"
"$5,300,000",127,2,2,2,"Álvaro Obregón, Ciudad de México"
"$2,650,000",70,2,2,3,"Coyoacán, Ciudad de México"
"$5,500,000",112,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$3,000,000",74,2,1,1,"Cuauhtémoc, Ciudad de México"
"$2,500,000",68,2,1,1,"Benito Juárez, Ciudad de México"
"$3,100,000",87,3,2,1,"Cuauhtémoc, Ciudad de México"
"$782,000",94,3,1,1,"Venustiano Carranza, Ciudad de México"
"$2,750,000",90,3,2,1,"Álvaro Obregón, Ciudad de México"
"$2,800,000",100,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$1,800,000",70,3,1,1,"Azcapotzalco, Ciudad de México"
"$3,250,000",120,3,2,1,"Gustavo A. Madero, Ciudad de México"
"$2,900,000",103,2,2,1,"Benito Juárez, Ciudad de México"
"$4,395,340",133,2,2,1,"Benito Juárez, Ciudad de México"
"$3,000,000",100,2,1,1,"Benito Juárez, Ciudad de México"
"$4,180,000",110,3,2,1,"Benito Juárez, Ciudad de México"
"$2,650,000",115,3,2,1,"Cuajimalpa de Morelos, Ciudad de México"
"$1,800,000",70,2,1,1,"Cuauhtémoc, Ciudad de México"
"$3,050,000",71,2,2,1,"Benito Juárez, Ciudad de México"
"$2,250,000",75,2,2,1,"Iztacalco, Ciudad de México"
"$3,915,000",105,2,2,1,"Benito Juárez, Ciudad de México"
"$1,700,000",72,2,1,1,"Azcapotzalco, Ciudad de México"
"$1,250,000",66,3,1,0,"Azcapotzalco, Ciudad de México"
"$5,980,000",202,3,3,3,"Huixquilucan, Ciudad de México"
"$7,000,000",191,3,2,1,"Cuauhtémoc, Ciudad de México"
"$5,800,000",150,2,2,1,"Cuauhtémoc, Ciudad de México"
"$6,250,000",193,3,4,2,"Huixquilucan, Ciudad de México"
"$8,000,000",157,2,2,2,"Cuauhtémoc, Ciudad de México"
"$7,300,000",158,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$6,200,000",167,2,2,2,"Benito Juárez, Ciudad de México"
"$7,390,000",178,3,2,1,"Cuauhtémoc, Ciudad de México"
"$7,500,000",180,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$9,100,000",152,2,2,2,"Miguel Hidalgo, Ciudad de México"
"$5,850,000",185,3,3,2,"Huixquilucan, Ciudad de México"
"$7,390,000",192,3,2,2,"Cuauhtémoc, Ciudad de México"
"$6,800,000",142,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$5,855,000",202,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$8,500,000",147,2,3,2,"Cuauhtémoc, Ciudad de México"
"$7,876,161",190,2,2,2,"Cuauhtémoc, Ciudad de México"
"$5,915,000",140,3,2,1,"Cuauhtémoc, Ciudad de México"
"$7,200,000",146,1,1,1,"Cuauhtémoc, Ciudad de México"
"$8,500,000",167,3,2,1,"Miguel Hidalgo, Ciudad de México"
"$5,900,000",185,3,3,2,"Huixquilucan, Ciudad de México"
"$5,990,000",178,3,2,2,"Huixquilucan, Ciudad de México"
"$7,800,000",180,3,2,1,"Cuauhtémoc, Ciudad de México"
"$6,700,000",164,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$5,950,700",184,2,2,2,"Álvaro Obregón, Ciudad de México"
"$6,600,000",156,3,3,1,"Cuauhtémoc, Ciudad de México"
"$7,500,000",167,3,2,1,"Miguel Hidalgo, Ciudad de México"
"$1,500,000",170,1,1,1,"Chicoloapan, Ciudad de México"
"$5,689,000",145,2,2,1,"Benito Juárez, Ciudad de México"
"$4,490,000",171,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$4,450,000",200,2,1,2,"Azcapotzalco, Ciudad de México"
"$2,980,000",166,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$4,500,000",186,3,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$4,700,000",190,3,2,2,"Cuauhtémoc, Ciudad de México"
"$4,950,000",178,3,3,2,"Huixquilucan, Ciudad de México"
"$5,200,000",170,3,3,2,"Naucalpan de Juárez, Ciudad de México"
"$4,800,000",168,3,3,2,"Huixquilucan, Ciudad de México"
"$4,600,000",175,1,1,2,"Huixquilucan, Ciudad de México"
"$3,620,000",150,3,3,2,"Huixquilucan, Ciudad de México"
"$5,300,000",155,2,2,2,"Huixquilucan, Ciudad de México"
"$3,200,000",185,4,2,1,"Naucalpan de Juárez, Ciudad de México"
"$3,625,000",199,5,3,0,"Azcapotzalco, Ciudad de México"
"$4,800,000",160,2,2,0,"Naucalpan de Juárez, Ciudad de México"
"$4,100,000",160,3,3,4,"Atizapán de Zaragoza, Ciudad de México"
"$2,680,000",158,2,1,1,"Naucalpan de Juárez, Ciudad de México"
"$3,650,000",160,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$5,000,000",170,4,4,2,"Huixquilucan, Ciudad de México"
"$4,980,000",173,3,2,1,"Benito Juárez, Ciudad de México"
"$3,400,000",157,3,3,2,"Cuautitlán Izcalli, Ciudad de México"
"$5,500,000",188,2,2,2,"Benito Juárez, Ciudad de México"
"$5,400,000",146,3,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$3,150,000",137,3,1,2,"Azcapotzalco, Ciudad de México"
"$2,900,000",200,4,2,1,"Gustavo A. Madero, Ciudad de México"
"$5,100,000",200,3,2,1,"Cuajimalpa de Morelos, Ciudad de México"
"$4,500,000",200,2,2,2,"Benito Juárez, Ciudad de México"
"$4,950,000",136,2,2,3,"Benito Juárez, Ciudad de México"
"$3,200,000",153,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$1,990,000",189,3,2,2,"Nicolás Romero, Ciudad de México"
"$5,200,000",199,2,3,2,"Huixquilucan, Ciudad de México"
"$2,980,000",166,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$2,190,000",190,3,3,2,"Chimalhuacán, Ciudad de México"
"$2,790,000",180,3,2,2,"Tlalnepantla de Baz, Ciudad de México"
"$5,400,000",160,3,3,2,"Naucalpan de Juárez, Ciudad de México"
"$1,700,000",189,6,2,1,"Ixtapaluca, Ciudad de México"
"$5,300,000",180,3,3,2,"Huixquilucan, Ciudad de México"
"$4,944,000",158,2,2,1,"Benito Juárez, Ciudad de México"
"$4,300,000",166,2,2,2,"Benito Juárez, Ciudad de México"
"$2,700,000",170,4,4,2,"Gustavo A. Madero, Ciudad de México"
"$3,900,000",170,4,3,2,"Xochimilco, Ciudad de México"
"$2,980,000",164,2,2,1,"Cuauhtémoc, Ciudad de México"
"$5,500,000",170,3,2,1,"Benito Juárez, Ciudad de México"
"$5,500,000",138,3,2,3,"Álvaro Obregón, Ciudad de México"
"$5,500,000",152,2,2,2,"Benito Juárez, Ciudad de México"
"$3,995,000",157,1,1,1,"Álvaro Obregón, Ciudad de México"
"$4,500,000",200,4,3,5,"Iztacalco, Ciudad de México"
"$5,550,000",200,3,3,2,"Cuajimalpa de Morelos, Ciudad de México"
"$4,200,000",190,2,2,1,"Benito Juárez, Ciudad de México"
"$2,469,000",65,1,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$980,000",65,2,1,1,"Ecatepec de Morelos, Ciudad de México"
"$3,900,000",122,2,2,1,"Benito Juárez, Ciudad de México"
"$3,465,000",64,2,1,2,"Benito Juárez, Ciudad de México"
"$860,000",85,2,1,1,"Coacalco de Berriozábal, Ciudad de México"
"$3,966,000",86,2,2,2,"Benito Juárez, Ciudad de México"
"$3,145,000",93,3,2,2,"Benito Juárez, Ciudad de México"
"$5,990,000",140,2,2,1,"Cuauhtémoc, Ciudad de México"
"$2,800,000",132,3,2,2,"Tlalnepantla de Baz, Ciudad de México"
"$3,179,611",101,2,2,2,"Álvaro Obregón, Ciudad de México"
"$7,300,000",200,3,2,1,"Miguel Hidalgo, Ciudad de México"
"$4,000,000",103,2,2,5,"Álvaro Obregón, Ciudad de México"
"$7,390,000",191,3,2,2,"Cuauhtémoc, Ciudad de México"
"$4,800,000",125,3,3,0,"Álvaro Obregón, Ciudad de México"
"$9,400,000",191,3,3,2,"Cuauhtémoc, Ciudad de México"
"$1,850,000",97,3,2,2,"Cuautitlán Izcalli, Ciudad de México"
"$4,195,000",68,2,2,1,"Cuauhtémoc, Ciudad de México"
"$2,600,000",74,2,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$5,804,253",79,1,1,1,"Cuauhtémoc, Ciudad de México"
"$1,890,000",79,2,1,1,"Cuauhtémoc, Ciudad de México"
"$1,450,000",121,4,2,1,"Ixtapaluca, Ciudad de México"
"$3,000,000",105,2,2,2,"Huixquilucan, Ciudad de México"
"$1,850,000",97,3,2,2,"Tultitlán, Ciudad de México"
"$3,500,000",119,4,2,1,"Coyoacán, Ciudad de México"
"$650,000",65,2,1,1,"Tultitlán, Ciudad de México"
"$5,999,000",110,2,2,1,"Cuauhtémoc, Ciudad de México"
"$6,000,000",132,2,2,1,"Cuauhtémoc, Ciudad de México"
"$2,250,000",102,3,2,2,"Cuautitlán Izcalli, Ciudad de México"
"$1,390,000",120,4,2,3,"Chimalhuacán, Ciudad de México"
"$1,250,000",100,3,1,1,"Tlalnepantla de Baz, Ciudad de México"
"$2,650,000",79,2,2,1,"Tlalnepantla de Baz, Ciudad de México"
"$3,190,000",116,2,2,2,"Huixquilucan, Ciudad de México"
"$4,643,800",74,2,2,1,"Cuauhtémoc, Ciudad de México"
"$620,000",76,2,1,1,"Huehuetoca, Ciudad de México"
"$4,500,000",133,2,2,2,"Huixquilucan, Ciudad de México"
"$5,980,000",145,3,2,2,"Benito Juárez, Ciudad de México"
"$4,600,000",95,2,2,2,"Benito Juárez, Ciudad de México"
"$7,200,000",156,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$4,300,000",125,3,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$4,800,000",127,3,2,1,"Benito Juárez, Ciudad de México"
"$3,900,000",114,3,2,1,"Benito Juárez, Ciudad de México"
"$7,500,000",167,3,2,1,"Miguel Hidalgo, Ciudad de México"
"$2,500,000",65,3,2,1,"Cuauhtémoc, Ciudad de México"
"$1,850,000",100,3,1,1,"Azcapotzalco, Ciudad de México"
"$5,900,000",106,1,1,1,"Miguel Hidalgo, Ciudad de México"
"$2,200,000",79,2,2,1,"Azcapotzalco, Ciudad de México"
"$3,490,000",107,3,2,2,"Álvaro Obregón, Ciudad de México"
"$4,532,762",110,2,2,2,"Álvaro Obregón, Ciudad de México"
"$1,500,000",80,3,1,1,"Iztapalapa, Ciudad de México"
"$1,467,000",82,3,1,1,"Coyoacán, Ciudad de México"
"$4,600,000",194,3,2,2,"Huixquilucan, Ciudad de México"
"$3,500,000",155,3,3,2,"Atizapán de Zaragoza, Ciudad de México"
"$2,790,000",137,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$4,100,000",170,2,2,2,"Huixquilucan, Ciudad de México"
"$4,950,000",170,3,2,2,"Huixquilucan, Ciudad de México"
"$5,500,000",185,3,4,2,"Huixquilucan, Ciudad de México"
"$4,380,000",180,3,3,3,"Naucalpan de Juárez, Ciudad de México"
"$5,200,000",178,3,3,2,"Huixquilucan, Ciudad de México"
"$1,590,000",186,3,2,5,"La Paz, Ciudad de México"
"$4,950,000",150,2,2,1,"Benito Juárez, Ciudad de México"
"$4,900,000",156,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$1,950,000",103,2,1,1,"Tlalnepantla de Baz, Ciudad de México"
"$798,900",80,3,1,1,"Tultepec, Ciudad de México"
"$648,900",69,2,1,1,"Cuautitlán, Ciudad de México"
"$859,000",120,3,2,2,"Huehuetoca, Ciudad de México"
"$1,400,000",108,4,2,2,"Chicoloapan, Ciudad de México"
"$1,250,000",90,3,2,1,"Tultitlán, Ciudad de México"
"$3,200,000",130,3,2,2,"Huixquilucan, Ciudad de México"
"$5,500,000",100,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$1,200,000",162,6,2,1,"Tizayuca, Ciudad de México"
"$1,400,000",150,2,1,1,"Cuautitlán Izcalli, Ciudad de México"
"$5,100,000",150,3,3,3,"Coyoacán, Ciudad de México"
"$2,350,000",71,2,1,1,"Benito Juárez, Ciudad de México"
"$2,350,000",71,2,1,1,"Benito Juárez, Ciudad de México"
"$2,850,000",67,2,2,1,"Álvaro Obregón, Ciudad de México"
"$2,600,000",116,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$2,500,000",65,2,2,2,"Álvaro Obregón, Ciudad de México"
"$3,600,000",97,3,2,1,"Benito Juárez, Ciudad de México"
"$1,350,000",66,2,1,1,"Iztacalco, Ciudad de México"
"$3,550,000",100,2,2,1,"Benito Juárez, Ciudad de México"
"$3,350,000",77,2,2,2,"Benito Juárez, Ciudad de México"
"$2,800,000",104,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$2,680,000",65,2,2,0,"Cuajimalpa de Morelos, Ciudad de México"
"$2,400,000",84,2,1,1,"Miguel Hidalgo, Ciudad de México"
"$3,980,000",107,1,1,0,"Miguel Hidalgo, Ciudad de México"
"$2,850,000",95,2,2,0,"Miguel Hidalgo, Ciudad de México"
"$2,800,000",95,3,1,0,"Benito Juárez, Ciudad de México"
"$1,990,000",85,3,1,1,"Tlalpan, Ciudad de México"
"$2,990,000",98,3,2,2,"Huixquilucan, Ciudad de México"
"$3,980,000",110,1,1,1,"Miguel Hidalgo, Ciudad de México"
"$4,500,000",125,2,2,2,"Benito Juárez, Ciudad de México"
"$6,250,000",135,3,3,1,"Cuauhtémoc, Ciudad de México"
"$3,600,000",130,2,3,2,"Huixquilucan, Ciudad de México"
"$2,673,100",96,3,2,2,"Huixquilucan, Ciudad de México"
"$3,400,000",112,3,2,1,"Álvaro Obregón, Ciudad de México"
"$4,000,000",80,2,2,1,"Cuauhtémoc, Ciudad de México"
"$3,995,000",113,3,2,1,"Benito Juárez, Ciudad de México"
"$5,400,000",128,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$2,750,000",69,2,1,1,"Benito Juárez, Ciudad de México"
"$5,700,000",110,2,2,1,"Cuauhtémoc, Ciudad de México"
"$4,250,000",126,3,2,3,"Cuajimalpa de Morelos, Ciudad de México"
"$4,000,007",80,2,2,1,"Cuauhtémoc, Ciudad de México"
"$1,273,900",104,4,2,1,"Chalco, Ciudad de México"
"$2,500,000",97,2,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$950,000",134,3,1,1,"Ixtapaluca, Ciudad de México"
"$5,550,000",106,2,2,2,"Cuauhtémoc, Ciudad de México"
"$3,900,000",105,3,2,2,"Álvaro Obregón, Ciudad de México"
"$860,000",77,2,1,1,"Tultepec, Ciudad de México"
"$4,727,843",105,3,2,2,"Cuauhtémoc, Ciudad de México"
"$3,850,000",117,5,3,1,"Álvaro Obregón, Ciudad de México"
"$3,900,000",98,2,2,2,"Álvaro Obregón, Ciudad de México"
"$4,490,000",96,3,2,2,"Benito Juárez, Ciudad de México"
"$1,150,000",65,2,1,1,"Iztapalapa, Ciudad de México"
"$800,000",80,2,2,3,"Nicolás Romero, Ciudad de México"
"$5,750,000",105,3,2,2,"Cuauhtémoc, Ciudad de México"
"$2,380,000",107,3,2,1,"Venustiano Carranza, Ciudad de México"
"$2,780,000",125,2,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$4,300,000",109,2,1,1,"Cuauhtémoc, Ciudad de México"
"$5,400,000",95,2,2,2,"Cuauhtémoc, Ciudad de México"
"$4,990,000",104,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$3,395,000",117,3,2,1,"Benito Juárez, Ciudad de México"
"$4,789,600",75,2,2,1,"Cuauhtémoc, Ciudad de México"
"$4,950,000",101,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$2,200,000",80,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$2,200,000",76,2,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$5,700,000",90,2,2,1,"Cuauhtémoc, Ciudad de México"
"$2,650,000",85,2,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$4,250,000",90,2,2,2,"Cuauhtémoc, Ciudad de México"
"$5,750,000",130,3,2,2,"Cuauhtémoc, Ciudad de México"
"$4,950,000",115,2,2,2,"Benito Juárez, Ciudad de México"
"$5,970,000",129,2,1,1,"Cuauhtémoc, Ciudad de México"
"$2,300,000",93,2,1,1,"Coyoacán, Ciudad de México"
